                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1964,                 3.1379,                 1.6204,                0.47089,                0.44439,                0.46118,                0.40079,                0.61585,                 1.6697,                 1.0102,                0.07075,                0.00325,                0.00325
                      1,                0.97745,                  1.274,                 1.4022,                0.62851,                0.93989,                0.68645,                0.60614,                 0.5605,                0.85541,                0.95474,               0.040685,              0.0065182,              0.0065182
                      2,                0.94465,                 1.2018,                 1.3546,                0.80495,                0.54247,                0.65562,                0.59866,                0.71679,                0.77641,                  1.021,               0.010554,              0.0097203,              0.0097203
                      3,                0.98596,                 1.1556,                 1.3917,                0.33382,                0.46887,                0.21342,                0.15508,                 1.1764,                 2.8267,                 1.3447,               0.009703,               0.009703,               0.009703
                      4,                0.99905,                 1.1834,                 1.4073,                0.32935,                0.83809,                0.33574,                0.26722,                 0.8952,                 1.8049,                  1.156,               0.009703,               0.009703,               0.009703
                      5,                0.99517,                 1.1442,                 1.4163,                0.57746,                0.98512,                0.68824,                0.52211,                0.65657,                 0.6417,                 1.0241,               0.009604,               0.009604,               0.009604
                      6,                 1.0009,                 1.1295,                 1.4196,                0.63919,                0.29813,                0.31184,                0.25106,                0.79985,                0.87512,                 1.1077,               0.009505,               0.009505,               0.009505
                      7,                0.95766,                 1.0774,                 1.3689,                0.95484,                0.57417,                0.64618,                0.55847,                0.71152,                0.87847,                 1.0448,               0.009406,               0.009406,               0.009406
                      8,                0.95494,                   1.04,                 1.3577,                0.57071,                0.58537,                0.66086,                0.54523,                0.66142,                0.77963,                0.98228,               0.009307,               0.009307,               0.009307
                      9,                0.96105,                 1.0349,                 1.3706,                0.62531,                0.63005,                0.66597,                0.54863,                 0.6516,                0.82499,                 1.0068,               0.009208,               0.009208,               0.009208
                     10,                0.95252,                 1.0436,                 1.3365,                0.70671,                0.96992,                0.81339,                0.61362,                0.66937,                 0.8599,                 1.0001,               0.009109,               0.009109,               0.009109
                     11,                0.95476,                 1.0424,                 1.3628,                0.41891,                0.95788,                0.81311,                0.71234,                0.72075,                0.74653,                 1.0434,                0.00901,                0.00901,                0.00901
                     12,                0.94688,                 1.0144,                 1.3625,                0.55801,                0.97574,                0.73332,                0.63691,                0.58736,                0.62835,                0.94182,               0.008911,               0.008911,               0.008911
                     13,                0.93408,                  1.002,                  1.349,                0.40183,                0.97738,                0.68205,                0.60627,                0.62793,                0.63052,                0.95747,               0.008812,               0.008812,               0.008812
                     14,                0.90674,                0.95453,                  1.324,                0.58939,                0.58552,                0.66125,                0.57781,                0.65047,                0.58059,                0.96916,               0.008713,               0.008713,               0.008713
                     15,                0.91841,                0.97935,                 1.3333,                0.55982,                0.97838,                0.73132,                0.63198,                0.65204,                 0.5912,                0.96451,               0.008614,               0.008614,               0.008614
                     16,                 0.8984,                0.94175,                 1.3125,                0.97369,                0.62086,                0.67941,                0.63506,                0.58006,                0.63274,                0.91628,               0.008515,               0.008515,               0.008515
                     17,                0.87245,                0.92817,                 1.2999,                0.50011,                0.96019,                0.97364,                0.82786,                0.64358,                0.75485,                0.94503,               0.008416,               0.008416,               0.008416
                     18,                0.90213,                0.93715,                 1.3224,                0.90011,                0.54606,                 0.7132,                0.63123,                  0.646,                0.72723,                0.96586,               0.008317,               0.008317,               0.008317
                     19,                 0.8602,                 0.8941,                 1.2936,                0.45904,                0.61652,                0.51288,                0.42192,                0.64131,                0.58382,                0.96784,               0.008218,               0.008218,               0.008218
                     20,                0.87396,                0.91322,                 1.3088,                0.45727,                0.64484,                0.48752,                0.43311,                0.60617,                0.52623,                0.94105,               0.008119,               0.008119,               0.008119
                     21,                0.85312,                0.87165,                 1.2937,                0.77312,                0.94414,                0.81832,                0.71533,                0.57784,                0.50927,                0.92481,                0.00802,                0.00802,                0.00802
                     22,                 0.8712,                0.87675,                 1.3176,                0.90621,                0.59833,                0.69786,                0.60102,                0.56573,                0.53351,                0.92365,               0.007921,               0.007921,               0.007921
                     23,                0.88514,                0.90212,                 1.3064,                0.57384,                0.98366,                0.71894,                0.64459,                  0.599,                 0.5758,                0.94157,               0.007822,               0.007822,               0.007822
                     24,                0.85145,                0.86844,                 1.2678,                0.30598,                0.63358,                  0.334,                0.27839,                0.69878,                0.80387,                 1.0202,               0.007723,               0.007723,               0.007723
