"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"8";"0.1uF";"CAP_CERAMIC_0603";"_0603";"C2, C3, C4, C5, C6, C7, C8, C9";"Ceramic Capacitors";"";
"1";"103AT/B=3435";"R-EU_0204/2V";"0204V";"THERMISTOR";"RESISTOR, European symbol";"";
"4";"1k";"RESISTOR_0603";"_0603";"R8, R9, R12, R13";"Resistors";"";
"1";"1k";"RESISTOR_0805";"_0805";"R1";"Resistors";"";
"1";"1uF";"CAP_CERAMIC_0603";"_0603";"C1";"Ceramic Capacitors";"";
"1";"200k";"RESISTOR_0603";"_0603";"R14";"Resistors";"";
"2";"2M";"RESISTOR_0603";"_0603";"R10, R11";"Resistors";"";
"1";"350k";"RESISTOR_0603";"_0603";"R15";"Resistors";"";
"1";"35k";"RESISTOR_0603";"_0603";"R16";"Resistors";"";
"1";"3mOhm";"RESISTOR2512";"2512";"RSENSE";"Resistors";"";
"6";"500R";"RESISTOR_0805";"_0805";"R2, R3, R4, R5, R6, R7";"Resistors";"";
"2";"AON6278";"AON6278";"TRANS_AON6278";"Q1, Q3";"Trans MOSFET N-CH 80V 85A 8-Pin DFN EP Check availability";"";
"1";"AON6407";"AON6407";"TRANS_AON6407";"Q2";"P-Channel 30V 32A (Ta), 85A (Tc) 7.3W (Ta), 83W (Tc) Surface Mount 8-DFN (5x6)  Check availability";"";
"1";"CW1073";"CW1073";"CW1073";"U$1";"";"";
"4";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"B6, CH+, CH-, P-1";"Test pad";"";
"7";"TPSTP20SQ";"TPSTP20SQ";"TP20SQ";"B-, B1, B2, B3, B4, B5, P+";"TEST PIN";"";
