B-, 1.52, 8.64, 90.00, TPSTP20SQ, TP20SQ
B1, 1.52, 13.46, 90.00, TPSTP20SQ, TP20SQ
B2, 1.52, 18.29, 90.00, TPSTP20SQ, TP20SQ
B3, 1.52, 23.11, 90.00, TPSTP20SQ, TP20SQ
B4, 1.52, 27.94, 90.00, TPSTP20SQ, TP20SQ
B5, 1.52, 32.77, 90.00, TPSTP20SQ, TP20SQ
B6, 1.52, 37.59, 90.00, TPSQTP20SQ, TP20SQ
C1, 9.02, 38.61, 180.00, 1uF, _0603
C2, 7.11, 33.02, 0.00, 0.1uF, _0603
C3, 7.11, 29.21, 0.00, 0.1uF, _0603
C4, 7.11, 25.15, 0.00, 0.1uF, _0603
C5, 7.11, 21.08, 0.00, 0.1uF, _0603
C6, 7.11, 16.51, 0.00, 0.1uF, _0603
C7, 7.11, 11.68, 0.00, 0.1uF, _0603
C8, 12.93, 21.08, 270.00, 0.1uF, _0603
C9, 22.35, 27.43, 0.00, 0.1uF, _0603
CH+, 32.26, 35.05, 90.00, TPSQTP20SQ, TP20SQ
CH-, 32.26, 11.18, 90.00, TPSQTP20SQ, TP20SQ
P+, 32.26, 29.21, 270.00, TPSTP20SQ, TP20SQ
P-1, 32.26, 18.03, 270.00, TPSQTP20SQ, TP20SQ
Q1, 19.56, 11.66, 270.00, AON6278, TRANS_AON6278
Q2, 19.17, 34.80, 0.00, AON6407, TRANS_AON6407
Q3, 25.91, 11.66, 270.00, AON6278, TRANS_AON6278
R1, 7.11, 36.83, 0.00, 1k, _0805
R10, 14.73, 32.77, 0.00, 2M, _0603
R11, 15.24, 35.56, 90.00, 2M, _0603
R12, 23.52, 20.12, 90.00, 1k, _0603
R13, 22.00, 20.12, 90.00, 1k, _0603
R14, 25.04, 20.12, 90.00, 200k, _0603
R15, 24.64, 24.38, 90.00, 350k, _0603
R16, 26.16, 24.38, 90.00, 35k, _0603
R2, 7.11, 34.80, 0.00, 500R, _0805
R3, 7.11, 30.99, 0.00, 500R, _0805
R4, 7.11, 26.92, 0.00, 500R, _0805
R5, 7.11, 22.86, 0.00, 500R, _0805
R6, 7.11, 18.29, 0.00, 500R, _0805
R7, 7.11, 13.46, 0.00, 500R, _0805
R8, 12.93, 17.96, 90.00, 1k, _0603
R9, 23.11, 24.38, 90.00, 1k, _0603
RSENSE, 13.21, 11.10, 270.00, 3mOhm, 2512
U$1, 17.36, 24.45, 0.00, CW1073, CW1073
