C1, 20.83, 4.83, 0.00, 10nF, _0603
C2, 28.19, 12.95, 0.00, 100nF, _0603
IC1, 28.45, 8.89, 0.00, PIC16F15224-E_ST, SOP65P640X120-14N
Q1, 14.74, 22.61, 270.00, IRF530NSTRLPBF, IRF2804STRLPBF
Q2, 14.71, 35.56, 180.00, IRF9530NSPBF, IDB30E60
Q3, 4.32, 22.61, 0.00, MMBT2222A_R1_00001, SOT23-R
Q4, 35.55, 22.61, 90.00, IRF530NSTRLPBF, IRF2804STRLPBF
Q5, 35.59, 35.56, 0.00, IRF9530NSPBF, IDB30E60
Q6, 45.97, 22.61, 180.00, MMBT2222A_R1_00001, SOT23-R
R1, 3.56, 18.80, 90.00, 1k, _0603
R2, 5.08, 35.56, 270.00, 10k, _0603
R3, 47.24, 18.80, 90.00, 1k, _0603
R4, 44.96, 35.56, 90.00, 10k, _0603
R5, 20.07, 10.67, 90.00, 10k, _0603
R6, 20.83, 8.38, 0.00, 220R, _0603
